
 customer_id,viewing_date,content_id,content_type,content_type
 1,2023-01-15,101,Movie,Movie
 2,2023-02-20,202,TV Show,TV Show
 3,2023-03-10,303,Documentary,Documentary
 4,2023-04-05,104,Movie,Movie
 5,2023-05-12,205,TV Show,TV Show
 6,2023-06-18,306,Documentary,Documentary
 7,2023-07-01,107,Movie,Movie
 8,2023-08-25,208,TV Show,TV Show
 9,2023-09-08,309,Documentary,Documentary
 10,2023-10-14,110,Movie,Movie
 11,2023-11-03,211,TV Show,TV Show
 12,2023-12-22,312,Documentary,Documentary
 13,2024-01-07,113,Movie,Movie
 14,2024-02-11,214,TV Show,TV Show
 113,2024-01-05,413,Movie,Movie
 114,2024-02-22,414,TV Show,TV Show
 115,2024-03-09,415,Documentary,Documentary
 116,2024-04-26,416,Movie,Movie
 117,2024-05-13,417,TV Show,TV Show
 118,2024-06-30,418,Documentary,Documentary
 119,2024-07-17,419,Movie,Movie
 120,2024-08-03,420,TV Show,TV Show
 121,2023-01-12,421,Movie,Movie
 15,2024-03-29,315,Documentary,Documentary
 16,2024-04-16,116,Movie,Movie
 17,2024-05-05,217,TV Show,TV Show
 18,2024-06-20,318,Documentary,Documentary
 19,2024-07-08,119,Movie,Movie
 20,2024-08-14,220,TV Show,TV Show
 21,2023-01-28,121,Movie,Movie
 32,2023-12-03,332,Documentary,Documentary
 33,2024-01-20,133,Movie,Movie
 34,2024-02-08,234,TV Show,TV Show
 35,2024-03-01,335,Documentary,Documentary
 36,2024-04-23,136,Movie,Movie
 37,2024-05-10,237,TV Show,TV Show
 38,2024-06-05,338,Documentary,Documentary
 39,2024-07-22,139,Movie,Movie
 40,2024-08-09,240,TV Show,TV Show
 41,2023-01-03,141,Movie,Movie
 42,2023-02-16,242,TV Show,TV Show
 43,2023-03-25,343,Documentary,Documentary
 44,2023-04-12,144,Movie,Movie
 45,2023-05-01,245,TV Show,TV Show
 46,2023-06-23,346,Documentary,Documentary
 47,2023-07-10,147,Movie,Movie
 48,2023-08-28,248,TV Show,TV Show
 49,2023-09-15,349,Documentary,Documentary
 50,2023-10-02,150,Movie,Movie
 51,2023-11-22,251,TV Show,TV Show
 52,2023-12-09,352,Documentary,Documentary
 53,2024-01-25,153,Movie,Movie
 54,2024-02-03,254,TV Show,TV Show
 55,2024-03-12,355,Documentary,Documentary
 56,2024-04-29,156,Movie,Movie
 57,2024-05-16,257,TV Show,TV Show
 58,2024-06-02,358,Documentary,Documentary
 59,2024-07-19,159,Movie,Movie
 60,2024-08-06,260,TV Show,TV Show
 61,2023-01-10,161,Movie,Movie
 62,2023-02-24,262,TV Show,TV Show
 63,2023-03-03,363,Documentary,Documentary
 64,2023-04-19,164,Movie,Movie
 65,2023-05-08,265,TV Show,TV Show
 66,2023-06-28,366,Documentary,Documentary
 67,2023-07-16,167,Movie,Movie
 68,2023-08-04,268,TV Show,TV Show
 69,2023-09-29,369,Documentary,Documentary
 70,2023-10-16,170,Movie,Movie
 71,2023-11-07,271,TV Show,TV Show
 72,2023-12-14,372,Documentary,Documentary
 73,2024-01-02,173,Movie,Movie
 74,2024-02-20,274,TV Show,TV Show
 75,2024-03-08,375,Documentary,Documentary
 76,2024-04-05,176,Movie,Movie
 77,2024-05-22,277,TV Show,TV Show
 78,2024-06-10,378,Documentary,Documentary
 79,2024-07-27,179,Movie,Movie
 80,2024-08-13,280,TV Show,TV Show
 81,2023-01-17,181,Movie,Movie
 82,2023-02-01,282,TV Show,TV Show
 83,2023-03-22,383,Documentary,Documentary
 84,2023-04-09,184,Movie,Movie
 85,2023-05-29,285,TV Show,TV Show
 86,2023-06-16,386,Documentary,Documentary
 87,2023-07-03,187,Movie,Movie
 88,2023-08-20,288,TV Show,TV Show
 89,2023-09-05,389,Documentary,Documentary
 90,2023-10-23,190,Movie,Movie
 91,2023-11-10,291,TV Show,TV Show
 92,2023-12-28,392,Documentary,Documentary
 93,2024-01-15,193,Movie,Movie
 94,2024-02-01,294,TV Show,TV Show
 95,2024-03-22,395,Documentary,Documentary
 96,2024-04-09,196,Movie,Movie
 97,2024-05-26,297,TV Show,TV Show
 98,2024-06-13,398,Documentary,Documentary
 99,2024-07-01,199,Movie,Movie
 100,2024-08-17,200,TV Show,TV Show
 101,2023-01-05,401,Movie,Movie
 102,2023-02-28,402,TV Show,TV Show
 22,2023-02-05,222,TV Show,TV Show
 23,2023-03-19,323,Documentary,Documentary
 24,2023-04-02,124,Movie,Movie
 25,2023-05-27,225,TV Show,TV Show
 26,2023-06-09,326,Documentary,Documentary
 27,2023-07-15,127,Movie,Movie
 28,2023-08-01,228,TV Show,TV Show
 29,2023-09-22,329,Documentary,Documentary
 30,2023-10-07,130,Movie,Movie
 31,2023-11-18,231,TV Show,TV Show
 103,2023-03-15,403,Documentary,Documentary
